track_id,cluster_PCA,cluster_MCA,cluster_CATPCA,cluster_UMAP
3B54sVLJ402zGa6Xm4YGNe,0,0,2,0
3BHR1mJOqn2UZyq98YKPgd,0,0,2,0
4SSbtLDkepeOHAckM1FCBP,0,0,2,0
2tFwfmceQa1Y6nRPhYbEtC,0,0,2,1
2FY7b99s15jUprqC0M5NCT,0,2,2,0
48UPSzbZjgc449aqz8bxox,0,3,3,1
4BP3uh0hFLFRb5cjsgLqDh,0,0,2,0
5vjLSffimiIP26QG5WcN2K,3,2,1,0
4HlFJV71xXKIGcU3kRyttv,0,0,2,1
7tqhbajSfrz2F7E1Z75ASX,0,2,2,0
0NlGoUyOJSuSHmngoibVAs,1,1,0,2
7H7NyZ3G075GqPx2evsfeb,1,0,3,3
06KyNuuMOX1ROXRhj787tj,3,2,2,1
41wtwzCZkXwpnakmwJ239F,0,0,2,0
42TMa2hgBNjte4uV7jNCnQ,0,0,2,0
64dLd6rVqDLtkXFYrEUHIU,0,3,2,1
2m6Ko3CY1qXNNja8AlugNc,0,2,2,0
7ycWLEP1GsNjVvcjawXz3z,0,0,2,1
29m79w9xPMH4YCD6r8JSmV,0,0,2,1
7BqBn9nzAq8spo5e7cZ0dJ,0,0,2,0
10nyNJ6zNy2YVYLrcwLccB,3,1,1,0
200x8ONbPfFzByUr3fVz46,0,3,0,0
5NvOZCjZaGGGL597exlQWv,1,2,0,2
5MxNLUsfh7uzROypsoO5qe,1,2,0,0
2GiJYvgVaD2HtM8GqD9EgQ,0,0,2,1
09CtPGIpYB4BrO8qb1RGsF,0,0,2,1
0z8hI3OPS8ADPWtoCjjLl6,0,0,2,0
0zlGnseLGzRIBA0TJcb3Bo,3,2,2,1
1yvMUkIOTeUNtNWlWRgANS,1,3,0,0
2JzZzZUQj3Qff7wapcbKjc,3,2,1,0
0GONea6G2XdnHWjNZd6zt3,0,0,2,0
748mdHapucXQri7IAO8yFK,0,0,2,0
6dGnYIeXmHdcikdzNNDMm2,1,2,2,0
32BeYxKPrig1LefHsC0Xuo,1,2,0,2
0Fs9cdPDhptWEDJmiCbkEW,0,0,2,0
6f5ExP43esnvdKPddwKXJH,0,0,2,1
0rmGAIH9LNJewFw7nKzZnc,0,3,2,1
6YUTL4dYpB9xZO5qExPf05,0,0,2,1
2GThBgzZoZfz0lx1JjBwfe,3,2,1,2
0qOnSQQF0yzuPWsXrQ9paz,0,0,2,0
2Foc5Q5nqNiosCNqttzHof,0,0,2,1
11iIikXxC6NP0Ma8vMD27x,1,2,3,3
4u7EnebtmKWzUH433cf5Qv,3,2,1,1
5T8EDUDqKcs6OSOwEsfqG7,4,2,0,0
6f3Slt0GbA2bPZlz0aIFXN,0,0,2,1
6epn3r7S14KUqlReYr77hA,0,0,2,1
4svaKoxMMP7ImmKrD5hfQu,0,2,2,0
4srcMdbm2qzVG98tJajHxp,0,0,2,1
2BgEsaKNfHUdlh97KmvFyo,0,0,2,1
0vHfVsEe6Ps0d8cZ9PGzSw,0,0,2,1
2XIc1pqjXV3Cr2BQUGNBck,0,0,2,0
28n8z9IQKyjMPxmvYMBqZa,0,2,2,0
161DnLWsx1i3u1JT05lzqU,1,2,3,1
5WtfUKzXircvW8l5aaVZWT,3,2,1,0
0AS63m1wHv9n4VVRizK6Hc,1,2,3,1
7j31rVgGX9Q2blT92VBEA0,0,0,2,0
3J8EOeKLTLXORtWPpOU5bE,3,0,2,1
3yMC1KsTwh0ceXdIe4QQAQ,3,2,1,0
3uwnnTQcHM1rDqSfA4gQNz,0,2,3,1
2SiXAy7TuUkycRVbbWDEpo,0,0,0,0
0azC730Exh71aQlOt9Zj3y,0,0,2,1
0Z2J91b2iTGLVTZC4fKgxf,0,0,2,0
6EbVuwU7EnKeF2hdpViXCH,3,2,2,0
2kQuhkFX7uSVepCD3h29g5,0,0,2,1
6RtPijgfPKROxEzTHNRiDp,0,0,2,0
6Dy1jexKYriXAVG6evyUTJ,0,0,2,0
22vgEDb5hykfaTwLuskFGD,0,0,2,1
2ZWlPOoWh0626oTaHrnl2a,3,2,1,1
3fqwjXwUGN6vbzIwvyFMhx,3,1,1,0
3PfIrDoz19wz7qK7tYeu62,0,0,2,1
6Im9k8u9iIzKMrmV7BWtlF,0,0,2,0
6Qn5zhYkTa37e91HC1D7lb,0,0,2,1
6L89mwZXSOwYl76YXfX13s,0,3,2,0
25ZAibhr3bdlMCLmubZDVt,0,0,2,1
3YRCqOhFifThpSRFJ1VWFM,1,2,3,0
3bNv3VuUOKgrf5hu3YcuRo,3,2,1,0
0WQiDwKJclirSYG9v5tayI,0,0,2,0
0WSa1sucoNRcEeULlZVQXj,1,3,0,1
3eJH2nAjvNXdmPfBkALiPZ,0,0,2,0
7DnAm9FOTWE3cUvso43HhI,0,0,2,0
6GG73Jik4jUlQCkKg9JuGO,0,0,2,0
2iUXsYOEPhVqEBwsqP70rE,1,0,3,1
3gdewACMIVMEWVbyb8O9sY,3,2,1,0
71wFwRo8xGc4lrcyKwsvba,1,2,0,0
4XqXNU8MwPHwbgZmNXmAdc,0,0,2,1
6i0V12jOa3mr6uu4WYhUBr,0,0,2,1
3FAclTFfvUuQYnEsptbK8w,3,2,3,1
0laYHRpNTS6i8FXdupHkJ4,0,0,2,1
7Ie9W94M7OjPoZVV216Xus,0,3,2,1
5odlY52u43F5BjByhxg7wg,3,2,1,2
4XvcHTUfIlWfyJTRG0aqlo,0,2,2,1
0TK2YIli7K1leLovkQiNik,0,0,2,1
2BJWxD8xKrDv8vneTvTIm9,0,2,2,1
21szgNA72iLwvBxHQLgwBh,1,3,3,1
4OSBTYWVwsQhGLF9NHvIbR,0,0,2,0
4OwhwvKESFtuu06dTgct7i,0,2,2,0
4LwU4Vp6od3Sb08CsP99GC,0,3,2,1
07MDkzWARZaLEdKxo6yArG,0,2,2,0
6jgkEbmQ2F2onEqsEhiliL,1,0,3,1
5sICkBXVmaCQk5aISGR3x1,0,0,2,1
2P4OICZRVAQcYAV2JReRfj,0,0,2,1
2prnn41CblB8B4yWACDljP,1,3,3,1
6TfBA04WJ3X1d1wXhaCFVT,0,3,0,0
4EchqUKQ3qAQuRNKmeIpnf,0,3,2,0
5uEYRdEIh9Bo4fpjDd4Na9,0,2,2,0
4IhTXiZLKATmwhMZIb1GQN,2,1,4,3
6lanRgr6wXibZr8KgzXxBl,1,1,1,2
0Be7sopyKMv8Y8npsUkax2,0,0,2,1
1r8ZCjfrQxoy2wVaBUbpwg,1,3,0,0
7GNRUsU3M4XNDDB9xle5Dz,0,0,2,0
4HzqWEdAbzcVFDv0pvxV4w,0,0,2,0
2MuWTIM3b0YEAskbeeFE1i,1,0,3,1
2RSHsoi04658QL5xgQVov3,1,3,0,0
41zXlQxzTi6cGAjpOXyLYH,3,2,1,2
47BBI51FKFwOMlIiX6m8ya,0,2,2,1
7B3z0ySL9Rr0XvZEAjWZzM,3,2,2,0
4v7DCN09hgXkKazefkznDQ,3,2,2,1
6foY66mWZN0pSRjZ408c00,0,2,2,0
4jvjzW7Hm0yK4LvvE0Paz9,0,0,3,1
5RubKOuDoPn5Kj5TLVxSxY,0,0,2,1
77loZpT5Y5PRP1S451P9Yz,1,2,0,0
2tnVG71enUj33Ic2nFN6kZ,0,0,2,1
1fewSx2d5KIZ04wsooEBOz,0,0,2,1
